# Cross-port raw-weather facts (Phase-7 Step 4). GENERATED, do not edit.
# Source: tests/oracle/winter_wheat_weather.json (raw NASAPower facts).
# The Rust biosphere::weather reads this via include_str! and runs the
# clean-room conversions (daylength sin/acos/tan, incident_par,
# net_radiation, vpd exp) ITSELF, exercising the weather libm cross-port.
# day_of_year is a calendar computation (tm_yday), not a libm op, so it
# is precomputed. Regenerate via gen_biosphere_weather.py.
#
latitude	0x1.a000000000000p+5
# doy	temp_c	irrad_j_m2_day	vap_hpa
274	0x1.063d70a3d70a4p+4	0x1.ccd0c00000000p+22	0x1.e3b19234805a3p+3
275	0x1.e570a3d70a3d7p+3	0x1.10d3c00000000p+23	0x1.d90d5cfbfb36ep+3
276	0x1.b7ae147ae147bp+3	0x1.3747800000000p+23	0x1.aa4049ed2b9b8p+3
277	0x1.8ae147ae147aep+3	0x1.cd6d000000000p+22	0x1.8f94622de7396p+3
278	0x1.a0f5c28f5c28fp+3	0x1.dfbc800000000p+22	0x1.98c1a3a783c9ap+3
279	0x1.dc7ae147ae148p+3	0x1.3af1000000000p+21	0x1.f55a5878ff7a4p+3
280	0x1.a147ae147ae14p+3	0x1.1d08c00000000p+23	0x1.719e770556cb9p+3
281	0x1.86b851eb851ecp+3	0x1.8ae5c00000000p+22	0x1.77a675dc7ce78p+3
282	0x1.9a3d70a3d70a4p+3	0x1.1170000000000p+23	0x1.9f585d77d2636p+3
283	0x1.e428f5c28f5c3p+3	0x1.36ab400000000p+22	0x1.0246f63e2206fp+4
284	0x1.e1eb851eb851fp+3	0x1.3a06a00000000p+23	0x1.d81f89aceba6ap+3
285	0x1.bdc28f5c28f5cp+3	0x1.f826800000000p+21	0x1.de58d12f20093p+3
286	0x1.a1eb851eb851fp+3	0x1.9a28000000000p+22	0x1.a6de7425e9620p+3
287	0x1.919999999999ap+3	0x1.583d000000000p+22	0x1.8b96c68d90bd0p+3
288	0x1.46b851eb851ecp+3	0x1.4a33400000000p+22	0x1.544226486fe5ap+3
289	0x1.470a3d70a3d71p+3	0x1.2f0a200000000p+23	0x1.4179f051538a6p+3
290	0x1.675c28f5c28f6p+3	0x1.2a76400000000p+23	0x1.5406c752b2760p+3
291	0x1.a147ae147ae14p+3	0x1.e0f5000000000p+21	0x1.b4d4603fca4dap+3
292	0x1.afae147ae147bp+3	0x1.e980800000000p+21	0x1.c5476dbaa5093p+3
293	0x1.c8a3d70a3d70ap+3	0x1.0848400000000p+22	0x1.bf0c3e176ff1ap+3
294	0x1.c3851eb851eb8p+3	0x1.0848400000000p+22	0x1.c5e05d5b41cbbp+3
295	0x1.bdc28f5c28f5cp+3	0x1.dc13000000000p+21	0x1.c29966ef32d25p+3
296	0x1.e0f5c28f5c28fp+3	0x1.700ac00000000p+22	0x1.fbe9cf75961afp+3
297	0x1.96b851eb851ecp+3	0x1.d24f000000000p+21	0x1.aa4049ed2b9b8p+3
298	0x1.6bd70a3d70a3dp+3	0x1.5704800000000p+22	0x1.735e8725e7406p+3
299	0x1.02b851eb851ecp+4	0x1.3090c00000000p+22	0x1.0271d4874b84ep+4
300	0x1.7ae147ae147aep+3	0x1.2ce7400000000p+22	0x1.5a1a0e449aa98p+3
301	0x1.ad1eb851eb852p+3	0x1.7ba3800000000p+21	0x1.d023802976d84p+3
302	0x1.ac28f5c28f5c3p+3	0x1.3c29800000000p+22	0x1.a6de7425e9620p+3
303	0x1.6b33333333333p+3	0x1.f344800000000p+21	0x1.632726192ca17p+3
304	0x1.7a3d70a3d70a4p+3	0x1.fe40fffffffffp+21	0x1.6f611d466ec1fp+3
305	0x1.08a3d70a3d70ap+3	0x1.4c08000000000p+22	0x1.b90e38d35e13ap+2
306	0x1.a147ae147ae14p+2	0x1.37e3c00000000p+22	0x1.099a837c487a5p+3
307	0x1.98f5c28f5c28fp+2	0x1.fd08800000000p+21	0x1.230c7d602a1cbp+3
308	0x1.23d70a3d70a3dp+3	0x1.ef9afffffffffp+21	0x1.445b3b74521f6p+3
309	0x1.675c28f5c28f6p+3	0x1.66e3000000000p+20	0x1.745f66aaad958p+3
310	0x1.5800000000000p+3	0x1.6cfd800000000p+21	0x1.678335f242929p+3
311	0x1.b000000000000p+2	0x1.9546000000000p+21	0x1.1ed49ff8bcb22p+3
312	0x1.123d70a3d70a4p+3	0x1.fbd0000000000p+20	0x1.51063122ac804p+3
313	0x1.1c7ae147ae148p+3	0x1.23bf800000000p+22	0x1.264c9d75e9a68p+3
314	0x1.c7ae147ae147bp+2	0x1.7cdc000000000p+21	0x1.09fa0ed72c033p+3
315	0x1.1570a3d70a3d7p+3	0x1.5be6800000000p+21	0x1.34afbba4ea41bp+3
316	0x1.fe147ae147ae1p+2	0x1.81be000000000p+21	0x1.21d689a9532b6p+3
317	0x1.575c28f5c28f6p+3	0x1.6e36000000000p+21	0x1.7b76ac245b0e1p+3
318	0x1.7666666666666p+3	0x1.23bf800000000p+21	0x1.a101c30cbd47ep+3
319	0x1.699999999999ap+3	0x1.2d83800000000p+21	0x1.8db682d72bc4cp+3
320	0x1.96b851eb851ecp+3	0x1.0c8e000000000p+21	0x1.a9af8fcdf1b0cp+3
321	0x1.45c28f5c28f5cp+3	0x1.2d83800000000p+22	0x1.522d179980283p+3
322	0x1.099999999999ap+3	0x1.08e4800000000p+22	0x1.25139cf747a78p+3
323	0x1.5ae147ae147aep+2	0x1.1037800000000p+21	0x1.1312ef6c47821p+3
324	0x1.ab851eb851eb8p+2	0x1.3fd3000000000p+20	0x1.240fa781c42e1p+3
325	0x1.b1eb851eb851fp+2	0x1.71df800000000p+21	0x1.1ed49ff8bcb22p+3
326	0x1.9666666666666p+2	0x1.437c800000000p+21	0x1.1d0a10be388e8p+3
327	0x1.3000000000000p+3	0x1.cd6d000000000p+20	0x1.6d6609a671256p+3
328	0x1.1c28f5c28f5c3p+3	0x1.8b82000000000p+21	0x1.5f8e369fe7ed8p+3
329	0x1.a147ae147ae14p+3	0x1.535b000000000p+20	0x1.a91f00deb31d0p+3
330	0x1.24ccccccccccdp+3	0x1.c4e1800000000p+21	0x1.58b0fdb611165p+3
331	0x1.375c28f5c28f6p+3	0x1.b292000000000p+21	0x1.709f4390db255p+3
332	0x1.3e147ae147ae1p+3	0x1.3880000000000p+21	0x1.715e9b9a2b829p+3
333	0x1.e000000000000p+2	0x1.c9c3800000000p+21	0x1.388a417b06deep+3
334	0x1.25c28f5c28f5cp+2	0x1.339e000000000p+21	0x1.05292be364564p+3
335	0x1.dd70a3d70a3d7p+2	0x1.583d000000000p+20	0x1.23740f7680da3p+3
336	0x1.0000000000000p+3	0x1.5f90000000000p+19	0x1.477bbd8fbc4bbp+3
337	0x1.eeb851eb851ecp+2	0x1.c138000000000p+19	0x1.39d57fc82a9aep+3
338	0x1.199999999999ap+3	0x1.6339800000000p+21	0x1.50cb51710cb10p+3
339	0x1.7e147ae147ae1p+3	0x1.b292000000000p+19	0x1.91b8efe554a68p+3
340	0x1.20a3d70a3d70ap+3	0x1.d24f000000000p+20	0x1.414176a37ea83p+3
341	0x1.df5c28f5c28f6p+2	0x1.5aae000000000p+19	0x1.2ad22877e6b0fp+3
342	0x1.0d1eb851eb852p+3	0x1.3d62000000000p+19	0x1.477bbd8fbc4bbp+3
343	0x1.9666666666666p+2	0x1.4e79000000000p+21	0x1.1158febeac4d4p+3
344	0x1.f70a3d70a3d71p+1	0x1.6954000000000p+21	0x1.f01876796caa9p+2
345	0x1.8e147ae147ae1p+2	0x1.b774000000000p+18	0x1.1d3ce4377dbaep+3
